Label ID, Label Name, Link
880766, Limitation Music, https://www.discogs.com/label/880766-Limitation-Music
1152, Soundmen On Wax, https://www.discogs.com/label/1152-Soundmen-On-Wax
65, Airtight, https://www.discogs.com/label/65-Airtight
9166, Sensei, https://www.discogs.com/label/9166-Sensei
23, Grayhound Recordings, https://www.discogs.com/label/23-Grayhound-Recordings
1202626, Autektone Records, https://www.discogs.com/label/1202626-Autektone-Records
34102, Sinnbus, https://www.discogs.com/label/34102-Sinnbus
20085, Little Angel Records, https://www.discogs.com/label/20085-Little-Angel-Records
14210, Soulstar, https://www.discogs.com/label/14210-Soulstar
1894, Clubstar, https://www.discogs.com/label/1894-Clubstar
1797, BCC Music, https://www.discogs.com/label/1797-BCC-Music
450274, Pressure Traxx, https://www.discogs.com/label/450274-Pressure-Traxx
678294, Seven Villas, https://www.discogs.com/label/678294-Seven-Villas
503109, Concrete Music, https://www.discogs.com/label/503109-Concrete-Music-4
154546, Neovinyl Recordings, https://www.discogs.com/label/154546-Neovinyl-Recordings
238, Hooj Choons, https://www.discogs.com/label/238-Hooj-Choons
720150, Annulled, https://www.discogs.com/label/720150-Annulled
9260, Eintakt, https://www.discogs.com/label/9260-Eintakt
17786, PWL Records, https://www.discogs.com/label/17786-PWL-Records
2469, PWL International, https://www.discogs.com/label/2469-PWL-International
248, Yellow Productions, https://www.discogs.com/label/248-Yellow-Productions
1232548, Welter Records, https://www.discogs.com/label/1232548-Welter-Records
300702, All Day I Dream, https://www.discogs.com/label/300702-All-Day-I-Dream
631, Elektrolux, https://www.discogs.com/label/631-Elektrolux
6454, Phono Elements, https://www.discogs.com/label/6454-Phono-Elements
1488, Alleviated Records, https://www.discogs.com/label/1488-Alleviated-Records
245, R & S Records, https://www.discogs.com/label/245-R-S-Records
987377, DUPLOC, https://www.discogs.com/label/987377-DUPLOC
387, Mantis Recordings, https://www.discogs.com/label/387-Mantis-Recordings
39519, Lost My Dog, https://www.discogs.com/label/39519-Lost-My-Dog
995484, Confession, https://www.discogs.com/label/995484-Confession
1578685, Threads, https://www.discogs.com/label/1578685-Threads
574843, Amselcom, https://www.discogs.com/label/574843-Amselcom
186450, Suol, https://www.discogs.com/label/186450-Suol
40, Loaded, https://www.discogs.com/label/40-Loaded-Records
1676, Fresh Fruit Records, https://www.discogs.com/label/1676-Fresh-Fruit-Records
192926, Aniara Recordings, https://www.discogs.com/label/192926-Aniara-Recordings
578259, Music From Memory, https://www.discogs.com/label/578259-Music-From-Memory
